state,last_changed
769,2025-09-19T03:57:33.396Z
768,2025-09-19T03:57:35.366Z
773,2025-09-19T03:57:37.322Z
776,2025-09-19T03:57:39.283Z
774,2025-09-19T03:57:41.257Z
775,2025-09-19T03:57:43.240Z
776,2025-09-19T03:57:45.205Z
774,2025-09-19T03:57:47.176Z
775,2025-09-19T03:57:55.217Z
774,2025-09-19T03:57:57.187Z
778,2025-09-19T03:57:59.154Z
779,2025-09-19T03:58:03.091Z
777,2025-09-19T03:58:07.064Z
774,2025-09-19T03:58:09.032Z
768,2025-09-19T03:58:17.078Z
771,2025-09-19T03:58:19.050Z
774,2025-09-19T03:58:21.010Z
778,2025-09-19T03:58:22.978Z
786,2025-09-19T03:58:24.952Z
785,2025-09-19T03:58:26.923Z
781,2025-09-19T03:58:28.896Z
779,2025-09-19T03:58:30.926Z
775,2025-09-19T03:58:38.943Z
778,2025-09-19T03:58:40.912Z
781,2025-09-19T03:58:42.882Z
782,2025-09-19T03:58:44.838Z
777,2025-09-19T03:58:48.808Z
774,2025-09-19T03:58:50.783Z
771,2025-09-19T03:58:52.741Z
772,2025-09-19T03:59:00.795Z
773,2025-09-19T03:59:02.765Z
780,2025-09-19T03:59:06.704Z
782,2025-09-19T03:59:08.660Z
783,2025-09-19T03:59:10.629Z
785,2025-09-19T03:59:12.613Z
779,2025-09-19T03:59:14.569Z
775,2025-09-19T03:59:22.614Z
776,2025-09-19T03:59:24.610Z
779,2025-09-19T03:59:28.517Z
783,2025-09-19T03:59:30.539Z
781,2025-09-19T03:59:32.464Z
782,2025-09-19T03:59:34.436Z
783,2025-09-19T03:59:36.400Z
784,2025-09-19T03:59:52.189Z
785,2025-09-19T03:59:54.160Z
776,2025-09-19T03:59:56.142Z
780,2025-09-19T03:59:58.096Z
782,2025-09-19T04:00:12.483Z
789,2025-09-19T04:00:14.452Z
796,2025-09-19T04:00:18.389Z
799,2025-09-19T04:00:26.439Z
790,2025-09-19T04:00:28.412Z
800,2025-09-19T04:00:30.451Z
795,2025-09-19T04:00:34.339Z
792,2025-09-19T04:00:36.314Z
793,2025-09-19T04:00:38.286Z
798,2025-09-19T04:00:40.240Z
805,2025-09-19T04:00:50.278Z
812,2025-09-19T04:00:52.245Z
816,2025-09-19T04:00:54.206Z
820,2025-09-19T04:00:56.166Z
825,2025-09-19T04:00:58.139Z
822,2025-09-19T04:01:00.105Z
826,2025-09-19T04:01:10.125Z
828,2025-09-19T04:01:12.128Z
835,2025-09-19T04:01:14.095Z
834,2025-09-19T04:01:16.060Z
831,2025-09-19T04:01:18.034Z
832,2025-09-19T04:01:19.990Z
833,2025-09-19T04:01:21.968Z
834,2025-09-19T04:01:23.935Z
839,2025-09-19T04:01:31.982Z
844,2025-09-19T04:01:33.946Z
849,2025-09-19T04:01:35.915Z
851,2025-09-19T04:01:37.925Z
850,2025-09-19T04:01:39.884Z
845,2025-09-19T04:01:43.833Z
850,2025-09-19T04:01:45.794Z
851,2025-09-19T04:01:53.875Z
852,2025-09-19T04:01:55.856Z
856,2025-09-19T04:01:57.821Z
855,2025-09-19T04:01:59.786Z
859,2025-09-19T04:02:01.761Z
861,2025-09-19T04:02:03.727Z
